"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"287802","occ","","","27481","Thamnophis sp.","genus","53084","","Thamnophis","genus","53084","Barstovian","","15.97","13.6","733"
"287803","occ","","","27481","Salvadora paleolineata","species","110880","","Salvadora paleolineata","species","110880","Barstovian","","15.97","13.6","733"
"287833","occ","","","15595","Palaeophis toliapicus","species","65243","","Palaeophis toliapicus","species","65243","Wasatchian","","55.8","50.3","812"
"287834","occ","","","15595","Palaeophis casei","species","65241","","Palaeophis casei","species","65241","Wasatchian","","55.8","50.3","812"
"287835","occ","","","15595","Palaeophis virginianus","species","65238","","Palaeophis virginianus","species","65238","Wasatchian","","55.8","50.3","812"
"287841","occ","","","20400","cf. Thamnophis sp.","genus","53084","","Thamnophis","genus","53084","Irvingtonian","","1.8","0.3","769"
"287842","occ","13584","","20400","cf. Elaphe obsoleta","species","155170","","Elaphe obsoleta","species","155169","Irvingtonian","","1.8","0.3","769"
"287843","occ","13585","","20400","cf. Agkistrodon piscivorous","species","53085","","Agkistrodon piscivorous","species","53085","Irvingtonian","","1.8","0.3","769"
"287844","occ","13586","","20400","cf. Crotalus adamanteus","species","291372","","Crotalus adamanteus","species","291372","Irvingtonian","","1.8","0.3","769"
"287862","occ","","","20402","Nerodia sp.","genus","38141","","Nerodia","genus","38141","Irvingtonian","","1.8","0.3","769"
"287863","occ","","","20402","cf. Thamnophis sp.","genus","53084","","Thamnophis","genus","53084","Irvingtonian","","1.8","0.3","769"
"287864","occ","","","20402","cf. Nerodia fasciata","species","38141","species not entered","Nerodia","genus","38141","Irvingtonian","","1.8","0.3","769"
"287865","occ","","","20402","Regina sp.","genus","67536","","Regina","genus","67536","Irvingtonian","","1.8","0.3","769"
"287866","occ","","","20402","cf. Regina alleni","species","155189","","Regina alleni","species","155188","Irvingtonian","","1.8","0.3","769"
